series,baker_age,baker_occupation,hometown,baker,episode.x,signature_bake,show_stopper,technical,result
1,30,Midwife,Essex,Annetha,1,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2,IN
1,30,Midwife,Essex,Annetha,1,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",7,OUT
1,30,Midwife,Essex,Annetha,2,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,2,IN
1,30,Midwife,Essex,Annetha,2,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7,OUT
1,36,International health adviser,Whitby,David,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3,IN
1,36,International health adviser,Whitby,David,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",8,IN
1,36,International health adviser,Whitby,David,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",4,IN
1,36,International health adviser,Whitby,David,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",5,OUT
1,36,International health adviser,Whitby,David,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,3,IN
1,36,International health adviser,Whitby,David,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,8,IN
1,36,International health adviser,Whitby,David,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,4,IN
1,36,International health adviser,Whitby,David,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,5,OUT
1,36,International health adviser,Whitby,David,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",3,IN
1,36,International health adviser,Whitby,David,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",8,IN
1,36,International health adviser,Whitby,David,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",4,IN
1,36,International health adviser,Whitby,David,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",5,OUT
1,36,International health adviser,Whitby,David,4,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",3,IN
1,36,International health adviser,Whitby,David,4,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",8,IN
1,36,International health adviser,Whitby,David,4,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",4,IN
1,36,International health adviser,Whitby,David,4,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",5,OUT
1,31,Entrepreneur,Milton Keynes,David,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3,IN
1,31,Entrepreneur,Milton Keynes,David,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",8,IN
1,31,Entrepreneur,Milton Keynes,David,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",4,IN
1,31,Entrepreneur,Milton Keynes,David,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",5,OUT
1,31,Entrepreneur,Milton Keynes,David,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,3,IN
1,31,Entrepreneur,Milton Keynes,David,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,8,IN
1,31,Entrepreneur,Milton Keynes,David,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,4,IN
1,31,Entrepreneur,Milton Keynes,David,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,5,OUT
1,31,Entrepreneur,Milton Keynes,David,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",3,IN
1,31,Entrepreneur,Milton Keynes,David,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",8,IN
1,31,Entrepreneur,Milton Keynes,David,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",4,IN
1,31,Entrepreneur,Milton Keynes,David,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",5,OUT
1,31,Entrepreneur,Milton Keynes,David,4,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",3,IN
