series,episode.x,baker,result
5,1,Chetna,STAR BAKER
5,1,Kate,STAR BAKER
5,1,Luis,STAR BAKER
5,1,Nancy,STAR BAKER
5,1,Richard,STAR BAKER
5,2,Chetna,STAR BAKER
5,2,Kate,STAR BAKER
5,2,Luis,STAR BAKER
5,2,Nancy,STAR BAKER
5,2,Richard,STAR BAKER
5,3,Chetna,STAR BAKER
5,3,Kate,STAR BAKER
5,3,Luis,STAR BAKER
5,3,Nancy,STAR BAKER
5,3,Richard,STAR BAKER
5,4,Chetna,STAR BAKER
5,4,Kate,STAR BAKER
5,4,Luis,STAR BAKER
5,4,Nancy,STAR BAKER
5,4,Richard,STAR BAKER
5,5,Chetna,STAR BAKER
5,5,Kate,STAR BAKER
5,5,Luis,STAR BAKER
5,5,Nancy,STAR BAKER
5,5,Richard,STAR BAKER
5,6,Chetna,STAR BAKER
5,6,Kate,STAR BAKER
5,6,Luis,STAR BAKER
5,6,Nancy,STAR BAKER
5,6,Richard,STAR BAKER
5,7,Chetna,STAR BAKER
5,7,Kate,STAR BAKER
5,7,Luis,STAR BAKER
5,7,Nancy,STAR BAKER
5,7,Richard,STAR BAKER
5,8,Chetna,STAR BAKER
5,8,Kate,STAR BAKER
5,8,Luis,STAR BAKER
5,8,Nancy,STAR BAKER
5,8,Richard,STAR BAKER
5,9,Chetna,STAR BAKER
5,9,Kate,STAR BAKER
5,9,Luis,STAR BAKER
5,9,Nancy,STAR BAKER
5,9,Richard,STAR BAKER
5,10,Kate,STAR BAKER
5,10,Luis,STAR BAKER
5,10,Nancy,STAR BAKER
5,10,Richard,STAR BAKER
6,1,Ian,STAR BAKER
6,1,Marie,STAR BAKER
6,1,Mat,STAR BAKER
6,1,Nadiya,STAR BAKER
6,1,Tamal,STAR BAKER
6,2,Ian,STAR BAKER
6,2,Marie,STAR BAKER
6,2,Mat,STAR BAKER
6,2,Nadiya,STAR BAKER
6,2,Tamal,STAR BAKER
6,3,Ian,STAR BAKER
6,3,Mat,STAR BAKER
6,3,Nadiya,STAR BAKER
6,3,Tamal,STAR BAKER
6,4,Ian,STAR BAKER
6,4,Mat,STAR BAKER
6,4,Nadiya,STAR BAKER
6,4,Tamal,STAR BAKER
6,5,Ian,STAR BAKER
6,5,Mat,STAR BAKER
6,5,Nadiya,STAR BAKER
6,5,Tamal,STAR BAKER
6,6,Ian,STAR BAKER
6,6,Mat,STAR BAKER
6,6,Nadiya,STAR BAKER
6,6,Tamal,STAR BAKER
6,7,Ian,STAR BAKER
6,7,Mat,STAR BAKER
6,7,Nadiya,STAR BAKER
6,7,Tamal,STAR BAKER
6,8,Ian,STAR BAKER
6,8,Nadiya,STAR BAKER
6,8,Tamal,STAR BAKER
6,9,Ian,STAR BAKER
6,9,Nadiya,STAR BAKER
6,9,Tamal,STAR BAKER
6,10,Ian,STAR BAKER
6,10,Nadiya,STAR BAKER
6,10,Tamal,STAR BAKER
7,1,Andrew,STAR BAKER
7,1,Benjamina,STAR BAKER
7,1,Candice,STAR BAKER
7,1,Jane,STAR BAKER
7,1,Tom,STAR BAKER
7,2,Andrew,STAR BAKER
7,2,Benjamina,STAR BAKER
7,2,Candice,STAR BAKER
7,2,Jane,STAR BAKER
7,2,Tom,STAR BAKER
7,3,Andrew,STAR BAKER
7,3,Benjamina,STAR BAKER
7,3,Candice,STAR BAKER
7,3,Jane,STAR BAKER
7,3,Tom,STAR BAKER
7,4,Andrew,STAR BAKER
7,4,Benjamina,STAR BAKER
7,4,Candice,STAR BAKER
7,4,Jane,STAR BAKER
7,4,Tom,STAR BAKER
7,5,Andrew,STAR BAKER
7,5,Benjamina,STAR BAKER
7,5,Candice,STAR BAKER
7,5,Jane,STAR BAKER
7,5,Tom,STAR BAKER
7,6,Andrew,STAR BAKER
7,6,Benjamina,STAR BAKER
7,6,Candice,STAR BAKER
7,6,Jane,STAR BAKER
7,6,Tom,STAR BAKER
7,7,Andrew,STAR BAKER
7,7,Benjamina,STAR BAKER
7,7,Candice,STAR BAKER
7,7,Jane,STAR BAKER
7,7,Tom,STAR BAKER
7,8,Andrew,STAR BAKER
7,8,Benjamina,STAR BAKER
